facility_id,state,condition_name,measure_name,risk_tier,penalty_flag,hospital_rank_in_state,excess_readmission_ratio,predicted_readmission_rate,expected_readmission_rate,deviation_from_national,state_avg_ratio,estimated_penalty_cost,readmission_rate,penalty_cost,risk_score,improvement_rate
130049,ID,CABG,READM-30-CABG-HRRP,LOW,f,5,0.8915,8.4229,9.4477,-0.1085,0.9835,0,88.99,0.00,41.0,-10.85
10001,AL,Heart Failure,READM-30-HF-HRRP,MEDIUM,t,19,1.0233,20.5695,20.101,0.0233,1.0086,2328.76,102.18,2328.76,51.9,2.33
10001,AL,Pneumonia,READM-30-PN-HRRP,LOW,f,38,0.9871,15.7529,15.9591,-0.0129,1.0032,0,98.56,0.00,48.9,-1.29
10001,AL,COPD,READM-30-COPD-HRRP,LOW,f,29,0.9823,16.6384,16.9389,-0.0177,0.996,0,98.12,0.00,48.5,-1.77
10001,AL,AMI (Heart Attack),READM-30-AMI-HRRP,LOW,f,28,0.937,13.2998,14.1948,-0.063,1.0292,0,93.54,0.00,44.8,-6.31
10001,AL,CABG,READM-30-CABG-HRRP,LOW,f,16,0.9531,10.396,10.9078,-0.0469,1.0447,0,95.14,0.00,46.1,-4.69
10001,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,LOW,f,17,0.9875,4.5734,4.6311,-0.0125,1.0391,0,98.36,0.00,49.0,-1.25
10005,AL,Pneumonia,READM-30-PN-HRRP,LOW,f,63,0.8727,13.3116,15.2532,-0.1273,1.0032,0,87.14,0.00,39.4,-12.73
10005,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,LOW,f,28,0.8602,4.6113,5.3609,-0.1398,1.0391,0,85.68,0.00,38.4,-13.98
10005,AL,Heart Failure,READM-30-HF-HRRP,MEDIUM,t,29,1.0087,20.9512,20.77,0.0087,1.0086,869.54,100.73,869.54,50.7,0.87
10005,AL,COPD,READM-30-COPD-HRRP,LOW,f,44,0.9308,16.8541,18.108,-0.0692,0.996,0,92.97,0.00,44.2,-6.92
10006,AL,COPD,READM-30-COPD-HRRP,MEDIUM,t,7,1.052,19.1045,18.1604,0.052,0.996,5197.24,105.08,5197.24,54.3,5.20
10006,AL,CABG,READM-30-CABG-HRRP,MEDIUM,t,12,1.0027,11.1697,11.1399,0.0027,1.0447,269.86,100.09,269.86,50.2,0.27
10006,AL,Heart Failure,READM-30-HF-HRRP,LOW,f,37,0.9925,19.2066,19.3517,-0.0075,1.0086,0,99.11,0.00,49.4,-0.75
10006,AL,Pneumonia,READM-30-PN-HRRP,LOW,f,40,0.9819,15.6444,15.9334,-0.0181,1.0032,0,98.04,0.00,48.5,-1.81
10006,AL,Hip/Knee Replacement,READM-30-HIP-KNEE-HRRP,MEDIUM,t,12,1.0527,6.083,5.7783,0.0527,1.0391,5267.2,104.85,5267.20,54.4,5.27
10006,AL,AMI (Heart Attack),READM-30-AMI-HRRP,LOW,f,29,0.9195,11.6567,12.6772,-0.0805,1.0292,0,91.79,0.00,43.3,-8.05
