facility_name,facility_id,state,measure_name,number_of_discharges,excess_readmission_ratio,predicted_readmission_rate,expected_readmission_rate,number_of_readmissions,start_date,end_date,condition_name,risk_tier,deviation_from_national,penalty_flag,state_avg_ratio,hospital_rank_in_state,deviation_from_state_avg,estimated_penalty_cost
Southeast Health Medical Center,10001,AL,READM-30-HIP-KNEE-HRRP,,0.9875,4.5734,4.6311,,2021-07-01,2024-06-30,Hip/Knee Replacement,LOW,-0.0125,False,1.0391,17,-0.0516,0.0
Southeast Health Medical Center,10001,AL,READM-30-CABG-HRRP,137.0,0.9531,10.396,10.9078,13.0,2021-07-01,2024-06-30,CABG,LOW,-0.0469,False,1.0447,16,-0.0916,0.0
Southeast Health Medical Center,10001,AL,READM-30-AMI-HRRP,273.0,0.937,13.2998,14.1948,33.0,2021-07-01,2024-06-30,AMI (Heart Attack),LOW,-0.063,False,1.0292,28,-0.0922,0.0
Southeast Health Medical Center,10001,AL,READM-30-COPD-HRRP,122.0,0.9823,16.6384,16.9389,19.0,2021-07-01,2024-06-30,COPD,LOW,-0.0177,False,0.996,29,-0.0137,0.0
Southeast Health Medical Center,10001,AL,READM-30-PN-HRRP,507.0,0.9871,15.7529,15.9591,79.0,2021-07-01,2024-06-30,Pneumonia,LOW,-0.0129,False,1.0032,38,-0.0161,0.0
Southeast Health Medical Center,10001,AL,READM-30-HF-HRRP,653.0,1.0233,20.5695,20.101,136.0,2021-07-01,2024-06-30,Heart Failure,MEDIUM,0.0233,True,1.0086,19,0.0147,2328.76
Marshall Medical Centers,10005,AL,READM-30-COPD-HRRP,132.0,0.9308,16.8541,18.108,17.0,2021-07-01,2024-06-30,COPD,LOW,-0.0692,False,0.996,44,-0.0652,0.0
Marshall Medical Centers,10005,AL,READM-30-HF-HRRP,164.0,1.0087,20.9512,20.77,35.0,2021-07-01,2024-06-30,Heart Failure,MEDIUM,0.0087,True,1.0086,29,0.0001,869.54
Marshall Medical Centers,10005,AL,READM-30-HIP-KNEE-HRRP,,0.8602,4.6113,5.3609,,2021-07-01,2024-06-30,Hip/Knee Replacement,LOW,-0.1398,False,1.0391,28,-0.1789,0.0
Marshall Medical Centers,10005,AL,READM-30-PN-HRRP,292.0,0.8727,13.3116,15.2532,30.0,2021-07-01,2024-06-30,Pneumonia,LOW,-0.1273,False,1.0032,63,-0.1305,0.0
North Alabama Medical Center,10006,AL,READM-30-AMI-HRRP,285.0,0.9195,11.6567,12.6772,29.0,2021-07-01,2024-06-30,AMI (Heart Attack),LOW,-0.0805,False,1.0292,29,-0.1097,0.0
North Alabama Medical Center,10006,AL,READM-30-HIP-KNEE-HRRP,,1.0527,6.083,5.7783,,2021-07-01,2024-06-30,Hip/Knee Replacement,MEDIUM,0.0527,True,1.0391,12,0.0136,5267.2
North Alabama Medical Center,10006,AL,READM-30-PN-HRRP,679.0,0.9819,15.6444,15.9334,105.0,2021-07-01,2024-06-30,Pneumonia,LOW,-0.0181,False,1.0032,40,-0.0213,0.0
North Alabama Medical Center,10006,AL,READM-30-HF-HRRP,461.0,0.9925,19.2066,19.3517,88.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0075,False,1.0086,37,-0.0161,0.0
North Alabama Medical Center,10006,AL,READM-30-CABG-HRRP,,1.0027,11.1697,11.1399,,2021-07-01,2024-06-30,CABG,MEDIUM,0.0027,True,1.0447,12,-0.042,269.86
North Alabama Medical Center,10006,AL,READM-30-COPD-HRRP,174.0,1.052,19.1045,18.1604,37.0,2021-07-01,2024-06-30,COPD,MEDIUM,0.052,True,0.996,7,0.056,5197.24
Mizell Memorial Hospital,10007,AL,READM-30-PN-HRRP,84.0,1.0345,16.336,15.7913,16.0,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.0345,True,1.0032,16,0.0313,3448.17
Mizell Memorial Hospital,10007,AL,READM-30-HF-HRRP,39.0,1.062,19.6947,18.5446,12.0,2021-07-01,2024-06-30,Heart Failure,MEDIUM,0.062,True,1.0086,7,0.0534,6196.7
Mizell Memorial Hospital,10007,AL,READM-30-COPD-HRRP,,1.0232,16.5931,16.2168,,2021-07-01,2024-06-30,COPD,MEDIUM,0.0232,True,0.996,11,0.0272,2318.77
Crenshaw Community Hospital,10008,AL,READM-30-PN-HRRP,,1.0017,13.4114,13.3883,,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.0017,True,1.0032,32,-0.0015,169.91
St. Vincent'S East,10011,AL,READM-30-AMI-HRRP,118.0,0.9697,11.4644,11.8232,12.0,2021-07-01,2024-06-30,AMI (Heart Attack),LOW,-0.0303,False,1.0292,26,-0.0595,0.0
St. Vincent'S East,10011,AL,READM-30-CABG-HRRP,63.0,1.1213,12.5649,11.2054,11.0,2021-07-01,2024-06-30,CABG,MEDIUM,0.1213,True,1.0447,5,0.0766,12123.55
St. Vincent'S East,10011,AL,READM-30-HF-HRRP,268.0,1.0373,19.906,19.1894,56.0,2021-07-01,2024-06-30,Heart Failure,MEDIUM,0.0373,True,1.0086,14,0.0287,3728.02
St. Vincent'S East,10011,AL,READM-30-COPD-HRRP,57.0,0.9988,19.4501,19.4725,11.0,2021-07-01,2024-06-30,COPD,LOW,-0.0012,False,0.996,18,0.0028,0.0
St. Vincent'S East,10011,AL,READM-30-PN-HRRP,281.0,1.0102,16.1282,15.9654,46.0,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.0102,True,1.0032,27,0.007,1019.46
Dekalb Regional Medical Center,10012,AL,READM-30-HIP-KNEE-HRRP,,0.9322,4.0417,4.3357,,2021-07-01,2024-06-30,Hip/Knee Replacement,LOW,-0.0678,False,1.0391,23,-0.1069,0.0
Dekalb Regional Medical Center,10012,AL,READM-30-HF-HRRP,98.0,1.084,19.6001,18.0817,25.0,2021-07-01,2024-06-30,Heart Failure,MEDIUM,0.084,True,1.0086,4,0.0754,8395.53
Dekalb Regional Medical Center,10012,AL,READM-30-AMI-HRRP,,1.0565,11.4786,10.865,,2021-07-01,2024-06-30,AMI (Heart Attack),MEDIUM,0.0565,True,1.0292,9,0.0273,5647.0
Dekalb Regional Medical Center,10012,AL,READM-30-PN-HRRP,142.0,1.0206,15.253,14.9444,23.0,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.0206,True,1.0032,22,0.0174,2058.9
Dekalb Regional Medical Center,10012,AL,READM-30-COPD-HRRP,,0.9934,13.8163,13.9081,,2021-07-01,2024-06-30,COPD,LOW,-0.0066,False,0.996,21,-0.0026,0.0
Shelby Baptist Medical Center,10016,AL,READM-30-PN-HRRP,216.0,1.0292,16.7023,16.2284,38.0,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.0292,True,1.0032,19,0.026,2918.45
Shelby Baptist Medical Center,10016,AL,READM-30-CABG-HRRP,,1.0875,12.3307,11.339,,2021-07-01,2024-06-30,CABG,MEDIUM,0.0875,True,1.0447,6,0.0428,8745.35
Shelby Baptist Medical Center,10016,AL,READM-30-COPD-HRRP,,0.9888,17.7859,17.9874,,2021-07-01,2024-06-30,COPD,LOW,-0.0112,False,0.996,25,-0.0072,0.0
Shelby Baptist Medical Center,10016,AL,READM-30-HIP-KNEE-HRRP,,1.1004,6.2549,5.6843,,2021-07-01,2024-06-30,Hip/Knee Replacement,MEDIUM,0.1004,True,1.0391,10,0.0613,10034.66
Shelby Baptist Medical Center,10016,AL,READM-30-AMI-HRRP,,1.027,14.8776,14.4868,,2021-07-01,2024-06-30,AMI (Heart Attack),MEDIUM,0.027,True,1.0292,14,-0.0022,2698.56
Shelby Baptist Medical Center,10016,AL,READM-30-HF-HRRP,212.0,1.0053,20.1019,19.9957,43.0,2021-07-01,2024-06-30,Heart Failure,MEDIUM,0.0053,True,1.0086,31,-0.0033,529.72
Helen Keller Hospital,10019,AL,READM-30-HIP-KNEE-HRRP,,1.2168,5.4095,4.4458,,2021-07-01,2024-06-30,Hip/Knee Replacement,HIGH,0.2168,True,1.0391,6,0.1777,21668.47
Helen Keller Hospital,10019,AL,READM-30-HF-HRRP,255.0,0.9057,17.2859,19.0851,37.0,2021-07-01,2024-06-30,Heart Failure,LOW,-0.0943,False,1.0086,53,-0.1029,0.0
Helen Keller Hospital,10019,AL,READM-30-COPD-HRRP,169.0,1.0327,17.547,16.991,32.0,2021-07-01,2024-06-30,COPD,MEDIUM,0.0327,True,0.996,9,0.0367,3268.26
Helen Keller Hospital,10019,AL,READM-30-PN-HRRP,235.0,1.0061,13.8755,13.7919,33.0,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.0061,True,1.0032,29,0.0029,609.68
Dale Medical Center,10021,AL,READM-30-PN-HRRP,,1.002,13.9025,13.8749,,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.002,True,1.0032,31,-0.0012,199.89
Floyd Cherokee Medical Center,10022,AL,READM-30-PN-HRRP,,0.9738,12.7596,13.1025,,2021-07-01,2024-06-30,Pneumonia,LOW,-0.0262,False,1.0032,44,-0.0294,0.0
Baptist Medical Center South,10023,AL,READM-30-HIP-KNEE-HRRP,,0.9546,5.4372,5.6955,,2021-07-01,2024-06-30,Hip/Knee Replacement,LOW,-0.0454,False,1.0391,21,-0.0845,0.0
Baptist Medical Center South,10023,AL,READM-30-HF-HRRP,289.0,1.0589,22.0595,20.8335,68.0,2021-07-01,2024-06-30,Heart Failure,MEDIUM,0.0589,True,1.0086,9,0.0503,5886.87
Baptist Medical Center South,10023,AL,READM-30-PN-HRRP,162.0,1.049,18.3401,17.4837,33.0,2021-07-01,2024-06-30,Pneumonia,MEDIUM,0.049,True,1.0032,12,0.0458,4897.4
Baptist Medical Center South,10023,AL,READM-30-COPD-HRRP,64.0,1.0436,19.9666,19.1329,16.0,2021-07-01,2024-06-30,COPD,MEDIUM,0.0436,True,0.996,8,0.0476,4357.68
